tweeter,type
1sky,SOCMOV
3blmedia,MEDIA
abc,MEDIA
abc26_wgno,OTHER
abc3340,OTHER
abc7,MEDIA
abc7kristensze,OTHER
abcenvironment,MEDIA
abcforum_hh,OTHER
abcmsaj,OTHER
abcpolitics,OTHER
abcworldnews,MEDIA
abetterworld4us,OTHER
acandytweet,OTHER
acarvin,OTHER
advertisinglaw,OTHER
aharleycbs,OTHER
alyssa_milano,CELEB
americafreetv,MEDIA
andersoncooper,MEDIA
angelafritzcnn,OTHER
animalnewsinfo,SOCMOV
animalplanet,OTHER
ap,OTHER
arizonanewsnet,OTHER
asiehcnn,MEDIA
attentionalert,OTHER
audreycnn,MEDIA
audubonca,OTHER
audubonsociety,SOCMOV
audubonzoo,SOCMOV
bbc_delosreyes,OTHER
bbc_wna,OTHER
bbcamericana,MEDIA
bbcmundo,OTHER
bbcphilippat,MEDIA
bbcworldservice,MEDIA
blackgoldnews,OTHER
bloombergnow,OTHER
bluevoiceorg,SOCMOV
boingboing,MEDIA
boomertvnetwork,MEDIA
bored2tears,OTHER
bp_america,CORP
bp_info,OTHER
bpcleanupcrew,OTHER
bpoilspill,OTHER
breakingtweets,MEDIA
brookebcnn,MEDIA
brookgarden,OTHER
buffalonyusnews,OTHER
buzzedition,OTHER
calfirenews,OTHER
care2causes,MEDIA
catetv,OTHER
cathcharitiesno,SOCMOV
causeglobal,CELEB
cb4wildlife,OTHER
cbd_climate,SOCMOV
cbdawson,OTHER
cbs11adrienne,OTHER
cbs11jeffjam,OTHER
cbs11news,OTHER
cbseveningnews,OTHER
cbsnews,MEDIA
cbsradionews,OTHER
cbstopnewsrss,OTHER
cchangedc,OTHER
cdcemergency,OTHER
celinecousteau,OTHER
change,SOCMOV
channel4news,MEDIA
cineversitytv,OTHER
circinfo,SOCMOV
citizen_k1,OTHER
citizensnews,MEDIA
city_business,MEDIA
cleanenergyorg,SOCMOV
cleanocean,SOCMOV
climatecentral,SOCMOV
climatechangeoh,OTHER
climatecounts,OTHER
climateproject,OTHER
clubfemina,OTHER
cnbc,MEDIA
cnn,MEDIA
cnn_oppmann,MEDIA
cnnbrk,MEDIA
cnneditorchuck,OTHER
cnnexpansion,OTHER
cnnhelpgulf10,OTHER
cnnimpact,MEDIA
cnnireport,OTHER
cnnkimsegal,MEDIA
cnnlive,MEDIA
cnnmariaw,OTHER
cnnmex,OTHER
cnnmoney,OTHER
cnnpr,MEDIA
cnnross,OTHER
cnnvalencia,MEDIA
cnnweather,MEDIA
cnsnews_com,OTHER
cntraveler,MEDIA
cnygreg,OTHER
coffeetalkwc,OTHER
congressorg,SOCMOV
coombscnbc,MEDIA
craigtimes,OTHER
crcpr21,OTHER
crisiscamp,SOCMOV
crisismappers,SOCMOV
cvmromer,OTHER
cw_vampdiaries,OTHER
cwjonesiii,OTHER
cwpseattle,OTHER
danabashcnn,MEDIA
daniellecnn,MEDIA
datelinenbc,OTHER
davidclinchnews,MEDIA
davidcorndc,MEDIA
davidmuirabc,OTHER
davidvitter,GOV
dcagle,MEDIA
deepsouthmag,MEDIA
dhsjournal,OTHER
digiphile,OTHER
divinglist,SOCMOV
dlayphoto,OTHER
dmsmpsn,OTHER
donlemoncnn,OTHER
drcraigmc,MEDIA
drgrist,MEDIA
du_breakingnews,GOV
dukestjournal,OTHER
earthblog,OTHER
earthhourus,OTHER
earthislandjrnl,OTHER
earthpr,OTHER
earthspeakorg,OTHER
earthsummit2012,OTHER
edatpost,MEDIA
edf_louisiana,OTHER
edhenrycnn,MEDIA
edlavacnn,MEDIA
elephantjournal,MEDIA
emergcommnetwrk,CORP
en_wikinews,OTHER
energytomorrow,CORP
envam,SOCMOV
enviroed,SOCMOV
environmentnews,MEDIA
epagov,GOV
errolcnn,OTHER
euronews,MEDIA
evanglasscnn,OTHER
fcousteau,OTHER
fiugov,OTHER
floridatourism,GOV
fnytv,OTHER
focusthenation,OTHER
